algorithm,dataset,n,eps,min_samples,runtime_seconds,memory_mb,num_clusters,noise_points,silhouette_score
DBSCAN,Iris,150,0.3,3,0.0015,0.0461,10.0,84.0,0.3974
DBSCAN,Iris,150,0.3,5,0.0008,0.0078,3.0,120.0,0.6302
DBSCAN,Iris,150,0.3,7,0.0008,0.0109,2.0,129.0,0.6276
DBSCAN,Iris,150,0.5,3,0.0038,0.0055,7.0,17.0,0.2591
DBSCAN,Iris,150,0.5,5,0.0008,0.0062,2.0,34.0,0.6559
DBSCAN,Iris,150,0.5,7,0.0008,0.0,5.0,46.0,0.436
DBSCAN,Iris,150,0.7,3,0.0009,0.0055,2.0,5.0,0.6002
DBSCAN,Iris,150,0.7,5,0.0009,0.0031,2.0,6.0,0.6018
DBSCAN,Iris,150,0.7,7,0.0009,0.0055,2.0,16.0,0.6255
DBSCAN,Iris,150,0.9,3,0.0009,0.007,2.0,4.0,0.5979
DBSCAN,Iris,150,0.9,5,0.0009,0.0023,2.0,4.0,0.5979
DBSCAN,Iris,150,0.9,7,0.0009,0.0016,2.0,6.0,0.6016
