algorithm,dataset,n,trial,runtime_seconds,memory_mb,sse,silhouette_score
Firefly,Synthetic,200,1,8.0912766456604,0.04296875,1213.0119383281074,0.8467003894636074
Firefly,Synthetic,200,2,8.094000101089478,0.0,4241.6410851157325,0.7249343699274954
Firefly,Synthetic,200,3,8.05915379524231,0.01171875,4305.529760937623,0.8467003894636074
Firefly,Synthetic,500,1,20.119011878967285,0.02734375,10692.188143083642,0.8437565906781406
Firefly,Synthetic,500,2,20.190176486968994,0.0,3525.987426943086,0.8437565906781406
Firefly,Synthetic,500,3,20.177748680114746,0.0,13246.168079443538,0.8129574912505368
Firefly,Synthetic,1000,1,40.357144594192505,0.10546875,31888.79416515061,0.5915521170533785
Firefly,Synthetic,1000,2,39.815574645996094,0.0,18637.885456070857,0.8384865838410861
Firefly,Synthetic,1000,3,40.13272833824158,0.00390625,19797.557541569375,0.8403844586690188
Firefly,Synthetic,2000,1,80.52966070175171,0.0625,22790.1503939195,0.8376373641841489
Firefly,Synthetic,2000,2,80.55794954299927,0.0,42464.801692466535,0.8368239921001945
Firefly,Synthetic,2000,3,79.44272589683533,0.0,46351.610950521215,0.43705674443134146
Firefly,Synthetic,5000,1,198.2203450202942,0.40625,84397.2806978161,0.7106920937146308
Firefly,Synthetic,5000,2,194.84767889976501,0.0,126459.53670206976,0.8369879086164151
Firefly,Synthetic,5000,3,211.20924711227417,0.015625,112936.69267719313,0.7302166507027599
